Hero ID,Nama Hero,Win Rate,Pick Rate,Ban Rate,Speciality,Rank Filter,Timeframe,Data Date,Image URL
35,Hilda,53.18%,1.09%,19.66%,"Damage, Regen",ALL,Past 1 day,2025-12-18T13:00:26.000Z,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_acd700708dc515f5c63a08f8835a9941.png
49,Hylos,48.1%,0.33%,1.7%,"Guard, Initiator",ALL,Past 1 day,2025-12-18T13:00:26.000Z,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_195ad9af866afaab415ae23a6be13b45.png
43,Irithel,54.39%,0.78%,1.27%,"Finisher, Burst",ALL,Past 1 day,2025-12-18T13:00:26.000Z,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_a7c51b517dbce49dac4e537bd4ab4f87.png
121,Ixia,54.04%,1.59%,11%,"Finisher, Damage",ALL,Past 1 day,2025-12-18T13:00:26.000Z,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_f070d82521ecd2e14d4ef3f25880830a.png
54,Jawhead,47.88%,0.46%,0.37%,"Charge, Burst",ALL,Past 1 day,2025-12-18T13:00:26.000Z,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_bd87c30b6c7de6ae3b5aa56162c48c8b.png
32,Johnson,47.38%,0.8%,2.43%,"Support, Crowd Control",ALL,Past 1 day,2025-12-18T13:00:26.000Z,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_85ff988c6660b4d04f8dd3d40df988bb.png
118,Joy,47.96%,0.49%,3.42%,"Chase, Damage",ALL,Past 1 day,2025-12-18T13:00:26.000Z,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_d3a3a55c22000ae78732fed8cba2efef.png
116,Julian,51.46%,1.2%,5.28%,"Chase, Magic Damage",ALL,Past 1 day,2025-12-18T13:00:26.000Z,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_5511ddc0ad2789b525f32ef572b017eb.png
75,Kadita,52.31%,0.89%,3.29%,"Burst, Charge",ALL,Past 1 day,2025-12-18T13:00:26.000Z,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_42b40ae7741d2eb81148c8f1e1ff614c.png
25,Kagura,50.39%,0.7%,1.24%,"Poke, Finisher",ALL,Past 1 day,2025-12-18T13:00:26.000Z,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_da424b020b8ac8235d64a1b8a09aa749.png
62,Kaja,51.26%,0.11%,0.4%,"Control, Charge",ALL,Past 1 day,2025-12-18T13:00:26.000Z,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_a23983833ad5bee7c83422c8ff727115.png
